Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
BIH4X7V7,journalArticle,2017,"Amador, Elena S.; Bandfield, Joshua L.; Brazelton, William J.; Kelley, Deborah","The Lost City Hydrothermal Field: A Spectroscopic and Astrobiological Analogue for Nili Fossae, Mars",Astrobiology,,"1531-1074, 1557-8070",10.1089/ast.2016.1606,http://www.liebertpub.com/doi/10.1089/ast.2016.1606,"Low-temperature serpentinization is a critical process with respect to Earth’s habitability and the Solar System. Exothermic serpentinization reactions commonly produce hydrogen as a direct by-product and typically produce short-chained organic compounds indirectly. Here, we present the spectral and mineralogical variability in rocks from the serpentine-driven Lost City Hydrothermal Field on Earth and the olivine-rich region of Nili Fossae on Mars. Near- and thermal-infrared spectral measurements were made from a suite of Lost City rocks at wavelengths similar to those for instruments collecting measurements of the martian surface. Results from Lost City show a spectrally distinguishable suite of Mg-rich serpentine, Ca carbonates, talc, and amphibole minerals. Aggregated detections of low-grade metamorphic minerals in rocks from Nili Fossae were mapped and yielded a previously undetected serpentine exposure in the region. Direct comparison of the two spectral suites indicates similar mineralogy at both Lost City and in the Noachian (4–3.7 Ga) bedrock of Nili Fossae, Mars. Based on mapping of these spectral phases, the implied mineralogical suite appears to be extensive across the region. These results suggest that serpentinization was once an active process, indicating that water and energy sources were available, as well as a means for prebiotic chemistry during a time period when life was ﬁrst emerging on Earth. Although the mineralogical assemblages identiﬁed on Mars are unlikely to be directly analogous to rocks that underlie the Lost City Hydrothermal Field, related geochemical processes (and associated sources of biologically accessible energy) were once present in the subsurface, making Nili Fossae a compelling candidate for a once-habitable environment on Mars. Key Words: Mars—Habitability—Serpentinization—Analogue. Astrobiology 17, 1138–1160.",2017-11,11/18/21 11:38,11/18/21 19:24,11/18/21 11:38,1138-1160,,11,17,,Astrobiol,The Lost City Hydrothermal Field,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Amador et al. - 2017 - The Lost City Hydrothermal Field A Spectroscopic .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUATGSXK,journalArticle,2009,"Brazelton, William J.; Sullivan, Woodruff T.",Understanding the nineteenth century origins of disciplines: lessons for astrobiology today?,International Journal of Astrobiology,,"1473-5504, 1475-3006",10.1017/S1473550409990255,https://www.cambridge.org/core/product/identifier/S1473550409990255/type/journal_article,"Astrobiology’s goal of promoting interdisciplinary research is an attempt to reverse a trend that began two centuries ago with the formation of the ﬁrst specialized scientiﬁc disciplines. We have examined this era of discipline formation in order to make a comparison with the situation today in astrobiology. Will astrobiology remain interdisciplinary or is it becoming yet another specialty ? As a case study, we have investigated eﬀects on the scientiﬁc literature when a specialized community is formed by analyzing the citations within papers published during 1802–1856 in Philosophical Transactions of the Royal Society (Phil. Trans.), the most important ‘generalist ’ journal of its day, and Transactions of the Geological Society of London (Trans. Geol. Soc.), the ﬁrst important disciplinary journal in the sciences. We ﬁnd that these two journals rarely cited each other, and papers published in Trans. Geol. Soc. cited fewer interdisciplinary sources than did geology papers in Phil. Trans. After geology had become established as a successful specialized discipline, geologists returned to publishing papers in Phil. Trans., but they wrote in the new, highly specialized style developed in Trans. Geol. Soc. They had succeeded in not only creating a new scientiﬁc discipline, but also a new way of doing science with its own modes of research and communication.",2009-10,11/18/21 11:38,11/18/21 11:38,11/18/21 11:38,257-266,,4,8,,International Journal of Astrobiology,Understanding the nineteenth century origins of disciplines,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton and Sullivan - 2009 - Understanding the nineteenth century origins of di.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35ABXRTU,journalArticle,2006,"Brazelton, William J.; Schrenk, Matthew O.; Kelley, Deborah S.; Baross, John A.",Methane- and Sulfur-Metabolizing Microbial Communities Dominate the Lost City Hydrothermal Field Ecosystem,Applied and Environmental Microbiology,,"0099-2240, 1098-5336",10.1128/AEM.00574-06,https://journals.asm.org/doi/10.1128/AEM.00574-06,"ABSTRACT                            Hydrothermal venting and the formation of carbonate chimneys in the Lost City hydrothermal field (LCHF) are driven predominantly by serpentinization reactions and cooling of mantle rocks, resulting in a highly reducing, high-pH environment with abundant dissolved hydrogen and methane. Phylogenetic and terminal restriction fragment length polymorphism analyses of 16S rRNA genes in fluids and carbonate material from this site indicate the presence of organisms similar to sulfur-oxidizing, sulfate-reducing, and methane-oxidizing               Bacteria               as well as methanogenic and anaerobic methane-oxidizing               Archaea               . The presence of these metabolic groups indicates that microbial cycling of sulfur and methane may be the dominant biogeochemical processes active within this ultramafic rock-hosted environment. 16S rRNA gene sequences grouping within the               Methylobacter               and               Thiomicrospira               clades were recovered from a chemically diverse suite of carbonate chimney and fluid samples. In contrast, 16S rRNA genes corresponding to the Lost City               Methanosarcinales               phylotype were found exclusively in high-temperature chimneys, while a phylotype of anaerobic methanotrophic               Archaea               (ANME-1) was restricted to lower-temperature, less vigorously venting sites. A hyperthermophilic habitat beneath the LCHF may be reflected by 16S rRNA gene sequences belonging to               Thermococcales               and uncultured               Crenarchaeota               identified in vent fluids. The finding of a diverse microbial ecosystem supported by the interaction of high-temperature, high-pH fluids resulting from serpentinization reactions in the subsurface provides insight into the biogeochemistry of what may be a pervasive process in ultramafic subseafloor environments.",2006-09,11/18/21 11:38,11/18/21 11:38,11/18/21 11:38,6257-6270,,9,72,,Appl Environ Microbiol,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton et al. - 2006 - Methane- and Sulfur-Metabolizing Microbial Communi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP724GPH,journalArticle,2012,"Brazelton, William J.; Nelson, Bridget; Schrenk, Matthew O.",Metagenomic Evidence for H2 Oxidation and H2 Production by Serpentinite-Hosted Subsurface Microbial Communities,Frontiers in Microbiology,,1664-302X,10.3389/fmicb.2011.00268,http://journal.frontiersin.org/article/10.3389/fmicb.2011.00268/abstract,"Ultramaﬁc rocks in the Earth’s mantle represent a tremendous reservoir of carbon and reducing power. Upon tectonic uplift and exposure to ﬂuid ﬂow, serpentinization of these materials generates copious energy, sustains abiogenic synthesis of organic molecules, and releases hydrogen gas (H2). In order to assess the potential for microbial H2 utilization fueled by serpentinization, we conducted metagenomic surveys of a marine serpentinite-hosted hydrothermal chimney (at the Lost City hydrothermal ﬁeld) and two continental serpentinite-hosted alkaline seeps (at theTablelands Ophiolite, Newfoundland). Novel [NiFe]-hydrogenase sequences were identiﬁed at both the marine and continental sites, and in both cases, phylogenetic analyses indicated aerobic, potentially autotrophic Betaproteobacteria belonging to order Burkholderiales as the most likely H2-oxidizers. Both sites also yielded metagenomic evidence for microbial H2 production catalyzed by [FeFe]-hydrogenases in anaerobic Gram-positive bacteria belonging to order Clostridiales. In addition, we present metagenomic evidence at both sites for aerobic carbon monoxide utilization and anaerobic carbon ﬁxation via the Wood–Ljungdahl pathway. In general, our results point to H2-oxidizing Betaproteobacteria thriving in shallow, oxic–anoxic transition zones and the anaerobic Clostridia thriving in anoxic, deep subsurface habitats. These data demonstrate the feasibility of metagenomic investigations into novel subsurface habitats via surface-exposed seeps and indicate the potential for H2-powered primary production in serpentinite-hosted subsurface habitats.",2012-01-01,11/18/21 11:38,11/18/21 19:51,11/18/21 11:38,,,,2,,Front. Microbio.,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton et al. - 2012 - Metagenomic Evidence for H2 Oxidation and H2 Produ.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGWU64IV,journalArticle,2013,"Brazelton, William J.; Morrill, Penny L.; Szponar, Natalie; Schrenk, Matthew O.",Bacterial Communities Associated with Subsurface Geochemical Processes in Continental Serpentinite Springs,Applied and Environmental Microbiology,,"0099-2240, 1098-5336",10.1128/AEM.00330-13,https://journals.asm.org/doi/10.1128/AEM.00330-13,"ABSTRACT                            Reactions associated with the geochemical process of serpentinization can generate copious quantities of hydrogen and low-molecular-weight organic carbon compounds, which may provide energy and nutrients to sustain subsurface microbial communities independently of the photosynthetically supported surface biosphere. Previous microbial ecology studies have tested this hypothesis in deep sea hydrothermal vents, such as the Lost City hydrothermal field. This study applied similar methods, including molecular fingerprinting and tag sequencing of the 16S rRNA gene, to ultrabasic continental springs emanating from serpentinizing ultramafic rocks. These molecular surveys were linked with geochemical measurements of the fluids in an interdisciplinary approach designed to distinguish potential subsurface organisms from those derived from surface habitats. The betaproteobacterial genus               Hydrogenophaga               was identified as a likely inhabitant of transition zones where hydrogen-enriched subsurface fluids mix with oxygenated surface water. The               Firmicutes               genus               Erysipelothrix               was most strongly correlated with geochemical factors indicative of subsurface fluids and was identified as the most likely inhabitant of a serpentinization-powered subsurface biosphere. Both of these taxa have been identified in multiple hydrogen-enriched subsurface habitats worldwide, and the results of this study contribute to an emerging biogeographic pattern in which               Betaproteobacteria               occur in near-surface mixing zones and               Firmicutes               are present in deeper, anoxic subsurface habitats.",2013-07-01,11/18/21 11:38,11/18/21 11:38,11/18/21 11:38,3906-3916,,13,79,,Appl. Environ. Microbiol.,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton et al. - 2013 - Bacterial Communities Associated with Subsurface G.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3TP5EARS,journalArticle,2017,"Brazelton, William",Hydrothermal vents,Current Biology,,9609822,10.1016/j.cub.2017.02.022,https://linkinghub.elsevier.com/retrieve/pii/S0960982217301598,,2017-06,11/18/21 11:38,11/18/21 19:23,11/18/21 11:38,R450-R452,,11,27,,Curr Biol,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton - 2017 - Hydrothermal vents.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2LV8RS76,journalArticle,2010,"Brazelton, William J.; Sogin, Mitchell L.; Baross, John A.",Multiple scales of diversification within natural populations of archaea in hydrothermal chimney biofilms,Environmental Microbiology Reports,,"17582229, 17582229",10.1111/j.1758-2229.2009.00097.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1758-2229.2009.00097.x,"Corroborative data collected from 16S rRNA clone libraries, intergenic transcribed spacer (ITS) region clone libraries, and 16S rRNA hypervariable region tag pyrosequencing demonstrate microdiversity within single-species archaeal bioﬁlms of the Lost City Hydrothermal Field. Both 16S rRNA clone libraries and pyrosequencing of the V6 hypervariable region show that Lost City Methanosarcinales (LCMS) bioﬁlms are dominated by a single sequence, but the pyrosequencing data set also reveals the presence of an additional 1654 rare sequences. Clone libraries constructed with DNA spanning the V6 hypervariable region and ITS show that multiple ITS sequences are associated with the same dominant V6 sequence. Furthermore, ITS variability differed among three chimney samples, and the sample with the highest ITS diversity also contained the highest V6 diversity as measured by clone libraries as well as tag pyrosequencing. These results indicate that the extensive microdiversity detected in V6 tag sequences is an underestimate of genetic diversity within the archaeal bioﬁlms.",2010-04,11/18/21 11:38,11/18/21 19:20,11/18/21 11:38,236-242,,2,2,,Environ Microbiol Rep,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton et al. - 2010 - Multiple scales of diversification within natural .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5VRMQG25,journalArticle,2009,"Brazelton, William J; Baross, John A",Abundant transposases encoded by the metagenome of a hydrothermal chimney biofilm,The ISME Journal,,"1751-7362, 1751-7370",10.1038/ismej.2009.79,http://www.nature.com/articles/ismej200979,,2009-12,11/18/21 11:38,11/18/21 11:38,11/18/21 11:38,1420-1424,,12,3,,ISME J,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton and Baross - 2009 - Abundant transposases encoded by the metagenome of.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7D3HQIEK,journalArticle,2010,"Brazelton, William J.; Baross, John A.",Metagenomic Comparison of Two Thiomicrospira Lineages Inhabiting Contrasting Deep-Sea Hydrothermal Environments,PLoS ONE,,1932-6203,10.1371/journal.pone.0013530,https://dx.plos.org/10.1371/journal.pone.0013530,"Background: The most widespread bacteria in oxic zones of carbonate chimneys at the serpentinite-hosted Lost City hydrothermal field, Mid-Atlantic Ridge, belong to the Thiomicrospira group of sulfur-oxidizing chemolithoautotrophs. It is unclear why Thiomicrospira-like organisms thrive in these chimneys considering that Lost City hydrothermal fluids are notably lacking in hydrogen sulfide and carbon dioxide. Methodology/Principal Findings: Here we describe metagenomic sequences obtained from a Lost City carbonate chimney that are highly similar to the genome of Thiomicrospira crunogena XCL-2, an isolate from a basalt-hosted hydrothermal vent in the Pacific Ocean. Even though T. crunogena and Lost City Thiomicrospira inhabit different types of hydrothermal systems in different oceans, their genomic contents are highly similar. For example, sequences encoding the sulfur oxidation and carbon fixation pathways (including a carbon concentration mechanism) of T. crunogena are also present in the Lost City metagenome. Comparative genomic analyses also revealed substantial genomic changes that must have occurred since the divergence of the two lineages, including large genomic rearrangements, gene fusion events, a prophage insertion, and transposase activity. Conclusions/Significance: Our results show significant genomic similarity between Thiomicrospira organisms inhabiting different kinds of hydrothermal systems in different oceans, suggesting that these organisms are widespread and highly adaptable. These data also indicate genomic processes potentially associated with the adaptation of these lineages into strikingly different habitats.",2010-10-21,11/18/21 11:38,11/18/21 11:38,11/18/21 11:38,e13530,,10,5,,PLoS ONE,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton and Baross - 2010 - Metagenomic Comparison of Two Thiomicrospira Linea.pdf,,,,"Rodriguez-Valera, Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X8M5CN9T,journalArticle,2017,"Brazelton, William J.; Thornton, Christopher N.; Hyer, Alex; Twing, Katrina I.; Longino, August A.; Lang, Susan Q.; Lilley, Marvin D.; Früh-Green, Gretchen L.; Schrenk, Matthew O.","Metagenomic identification of active methanogens and methanotrophs in serpentinite springs of the Voltri Massif, Italy",PeerJ,,2167-8359,10.7717/peerj.2945,https://peerj.com/articles/2945,"The production of hydrogen and methane by geochemical reactions associated with the serpentinization of ultramafic rocks can potentially support subsurface microbial ecosystems independent of the photosynthetic biosphere. Methanogenic and methanotrophic microorganisms are abundant in marine hydrothermal systems heavily influenced by serpentinization, but evidence for methane-cycling archaea and bacteria in continental serpentinite springs has been limited. This report provides metagenomic and experimental evidence for active methanogenesis and methanotrophy by microbial communities in serpentinite springs of the Voltri Massif, Italy. Methanogens belonging to family Methanobacteriaceae and methanotrophic bacteria belonging to family Methylococcaceae were heavily enriched in three ultrabasic springs (pH 12). Metagenomic data also suggest the potential for hydrogen oxidation, hydrogen production, carbon fixation, fermentation, and organic acid metabolism in the ultrabasic springs. The predicted metabolic capabilities are consistent with an active subsurface ecosystem supported by energy and carbon liberated by geochemical reactions within the serpentinite rocks of the Voltri Massif.",2017-01-26,11/18/21 11:38,11/18/21 19:24,11/18/21 11:38,e2945,,,5,,PeerJ,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/braz/Dropbox/Papers/collections/Brazelton et al. - 2017 - Metagenomic identification of active methanogens a.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
